Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,1.15,49.4%,-8.2%,4.4%,10.0%,2.7%,13.8%,-16.7%,8.2%,4.0%,1.6%,-42.6%,-46.8%,-45.7%,4.3%,-45.2%,-43.4%,-44.9%,-45.1%,7.8%,12.6%,14.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,2.5%,-9.6%,4.5%,7.9%,18.2%,-9.9%,0.7%,4.8%,5.6%,2.6%,8.9%,6.1%,5.5%,4.3%,6.8%,4.7%,3.7%,6.9%,11.7%,23.6%,32.2%
,Panel 5,,0.6%,39.0%,-18.7%,19.8%,-40.7%,161.3%,-49.7%,7.9%,1.5%,40.0%,17.8%,3.1%,38.0%,19.2%,18.6%,-6.1%,9.9%,-12.2%,-1.9%,6.8%,-3.2%
,Panel 5,,1.5%,,-47.1%,-10.1%,-80.3%,-29.9%,-37.4%,-26.8%,-48.3%,63.8%,-7.6%,-43.4%,22.3%,-13.4%,-14.9%,6.4%,-10.1%,-60.7%,29.7%,8.7%,39.5%
,Panel 5,,67.5%,,,-52.6%,477.5%,173.7%,-100.0%,470.7%,-49.0%,5.0%,-27.4%,967.1%,35.4%,17.5%,85.0%,-29.5%,-50.5%,-8.2%,98.7%,14.9%,25.3%
,Panel 5,,37.4%,,-37.0%,22.1%,-27.4%,-60.8%,-38.1%,-31.7%,-19.3%,-27.1%,55.4%,-6.8%,0.5%,-26.5%,10.9%,60.6%,44.8%,44.5%,-19.4%,-9.5%,40.3%
,Panel 5,,11.8%,-2.6%,-27.0%,-15.1%,-20.5%,-30.9%,-14.7%,-22.0%,-3.0%,-5.6%,-2.7%,-2.2%,9.6%,-10.1%,1.7%,-2.6%,-2.3%,7.8%,8.2%,30.5%,51.6%
,Panel 5,,2.1%,-34.5%,35.5%,-5.1%,-25.7%,3.7%,33.5%,-0.1%,3.4%,-3.5%,6.7%,-3.6%,3.3%,-0.3%,1.8%,0.7%,5.5%,3.4%,-2.8%,-5.0%,9.2%
,Panel 5,,5.7%,-9.4%,9.0%,-0.9%,-1.4%,1.4%,-2.1%,2.2%,1.7%,8.3%,-1.2%,-2.5%,-1.0%,4.1%,-1.6%,0.6%,-1.4%,-3.6%,-4.5%,-4.2%,0.2%
,Panel 5,,5.4%,50.3%,-20.8%,-18.3%,24.8%,-9.7%,6.2%,-5.5%,2.3%,10.0%,-10.8%,-3.4%,4.6%,2.4%,-3.0%,7.7%,7.1%,11.0%,-4.8%,-10.9%,-12.0%
,Panel 5,,80.3%,,398.6%,,165.1%,,-100.0%,268.6%,-44.0%,8.4%,-61.8%,78.3%,-89.5%,31.7%,-48.6%,-40.6%,-8.2%,-35.4%,-12.4%,-51.7%,-32.2%
,Panel 5,,125.8%,,,,-100.0%,,,19.0%,34.4%,190.2%,,-59.1%,-70.5%,80.5%,-45.3%,1.8%,-79.3%,-20.2%,8.9%,4.1%,-42.6%
,Panel 5,,5.8%,88.9%,-62.2%,559.6%,212.5%,154.0%,70.7%,153.3%,129.7%,5.1%,113.7%,57.3%,38.5%,58.8%,64.7%,24.1%,-2.9%,-11.5%,-55.5%,10.8%,-30.3%
,Panel 5,,21.5%,223.5%,161.5%,-36.9%,234.6%,290.6%,123.0%,69.4%,82.3%,-49.7%,-39.0%,-49.3%,182.8%,4.9%,-16.5%,-20.4%,-5.7%,-36.2%,2.8%,-9.5%,-13.3%
,Panel 5,,0.9%,-11.4%,2.8%,8.9%,0.2%,10.0%,-25.6%,6.0%,1.7%,3.3%,11.9%,-2.8%,0.4%,3.6%,2.7%,4.2%,6.5%,9.4%,12.3%,10.3%,6.0%
,Panel 5,,7.2%,15560.2%,63.0%,10.2%,2.9%,15.5%,-0.2%,29.0%,0.2%,0.5%,-3.0%,-4.3%,8.3%,7.3%,0.1%,3.9%,11.0%,-1.5%,6.4%,-1.6%,-5.6%
,Panel 5,,0.0%,24.3%,27.3%,-20.9%,-19.5%,-21.0%,89.1%,140.3%,-7.7%,35.9%,-2.0%,5.2%,-6.5%,140.3%,4.5%,0.2%,6.2%,1.7%,16.8%,11.7%,5.8%
,Panel 1,1.36,5.4%,1.3%,4.7%,0.7%,-12.9%,-28.0%,14.9%,6.4%,-9.1%,5.0%,-0.4%,-2.5%,1.5%,-4.2%,1.2%,10.9%,16.2%,18.0%,12.5%,5.7%,8.5%
,Panel 3,1.34,1.9%,14.3%,19.5%,21.6%,8.8%,-0.4%,34.6%,5.8%,15.2%,19.3%,12.7%,22.8%,14.3%,15.4%,17.3%,34.3%,32.5%,30.1%,25.7%,18.0%,20.4%
,Panel 5,0.42,0.6%,5.1%,9.2%,17.1%,3.8%,-10.8%,17.7%,16.8%,5.1%,11.1%,7.0%,3.7%,3.0%,6.7%,6.1%,20.6%,14.6%,14.4%,13.1%,13.6%,3.8%
,Panel 3,1.49,3.8%,0.0%,34.1%,6.2%,5.8%,-17.7%,-45.5%,-1.5%,0.9%,-25.5%,-6.0%,-7.5%,-8.3%,-1.5%,-7.4%,-5.7%,-1.9%,-4.5%,-1.1%,-7.8%,-9.1%
,Panel 1,,0.7%,11.0%,24.5%,17.3%,10.8%,-16.3%,-35.9%,-3.5%,2.7%,-14.8%,6.3%,-1.4%,-0.8%,-3.5%,-1.3%,-1.4%,-2.1%,-1.6%,-5.3%,-8.3%,-10.1%
,Panel 5,0.98,0.5%,38.9%,-2.9%,15.4%,10.1%,-0.3%,-34.5%,-23.4%,4.0%,-13.5%,1.9%,-1.4%,-1.3%,-23.4%,-2.2%,-1.2%,-1.7%,37.6%,20.9%,85.4%,30.1%
,Panel 5,,15.8%,331.0%,-46.6%,-39.1%,-16.2%,-31.9%,0.9%,,-29.7%,-19.5%,15.9%,-22.3%,-32.9%,,-11.9%,-25.0%,-9.3%,-7.6%,-11.2%,-1.4%,-16.0%
,Panel 5,,1.3%,-46.0%,-32.0%,-32.4%,2.2%,-24.2%,-59.2%,-7.5%,-28.4%,-18.7%,-31.7%,-26.4%,-18.5%,-7.5%,-26.4%,-23.7%,-25.0%,-12.7%,12.6%,3.9%,8.8%
,Panel 5,,4.7%,0.1%,-21.6%,17.6%,33.2%,65.2%,-2.4%,-0.3%,29.7%,-4.8%,1.3%,5.3%,2.9%,-0.3%,2.6%,4.3%,-0.4%,-4.1%,-2.0%,1.2%,5.2%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,4.0%,45.8%,-0.8%,15.7%,9.1%,-4.4%,-38.6%,-24.9%,2.9%,-15.8%,3.1%,-13.8%,-3.6%,-24.9%,-3.3%,-6.1%,-2.0%,-4.7%,-3.4%,-5.4%,5.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,-81.9%,-100.0%,,,-33.3%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 1,,0.4%,11.0%,24.5%,17.3%,10.8%,-16.3%,-35.9%,-3.5%,2.7%,-14.8%,6.3%,-1.4%,-0.8%,-3.5%,-1.3%,-1.4%,-1.8%,31.2%,12.1%,65.7%,20.4%
,Panel 1,,6.0%,25.2%,-8.8%,-5.7%,9.3%,48.3%,1.4%,45.3%,20.2%,-2.6%,7.4%,7.9%,10.5%,45.3%,4.4%,9.4%,3.4%,10.0%,-0.1%,3.0%,11.3%
,Panel 1,,7.6%,10.1%,25.9%,18.0%,10.9%,-19.1%,-39.3%,-7.0%,2.1%,-17.3%,4.9%,-19.7%,-9.3%,-7.0%,-2.4%,-12.1%,-4.4%,-5.4%,-6.3%,-17.4%,-17.7%
,Panel 5,2.37,2.2%,-0.6%,3.5%,-1.7%,-0.1%,-6.9%,9.7%,9.8%,-0.6%,2.7%,2.0%,1.2%,4.5%,-1.5%,1.4%,3.6%,1.7%,3.5%,7.8%,5.9%,6.4%
,Panel 3,1.39,0.6%,-4.0%,5.9%,-2.2%,1.6%,-8.2%,23.4%,-4.3%,1.5%,2.2%,-5.6%,9.1%,-1.7%,-3.7%,1.3%,0.8%,0.2%,4.5%,11.4%,11.2%,14.1%
,Panel 1,1.66,0.5%,-5.4%,3.2%,1.2%,0.0%,-17.9%,17.3%,-1.1%,-3.4%,7.2%,1.8%,1.0%,1.6%,-7.0%,1.7%,1.2%,1.4%,5.4%,8.7%,5.7%,7.8%
,Panel 5,1.13,1.4%,-3.6%,-4.0%,-9.4%,-2.7%,-12.9%,24.7%,-2.3%,-7.2%,-0.1%,-3.1%,-3.2%,-0.8%,5.1%,-3.6%,-2.4%,-1.2%,0.2%,0.1%,-0.1%,0.7%
,Panel 3,1.11,1.0%,-7.3%,5.1%,-10.9%,-3.2%,-15.6%,44.6%,-11.4%,-3.8%,-3.2%,-10.8%,11.7%,-3.2%,-7.3%,-3.7%,-0.6%,-0.8%,0.2%,4.1%,0.6%,2.1%
,Panel 5,,2.3%,-1.6%,-2.7%,-9.5%,-6.4%,-11.5%,29.7%,-0.4%,-7.1%,-1.6%,-4.3%,-4.1%,-0.8%,5.0%,-4.3%,-2.7%,-1.8%,0.5%,-0.8%,-1.0%,-0.6%
,Panel 5,,2.5%,-13.7%,-10.5%,-9.1%,14.5%,-18.7%,3.1%,-13.8%,-7.5%,7.2%,1.8%,0.4%,-0.8%,5.9%,-0.3%,-1.6%,1.6%,-1.0%,4.3%,3.9%,6.3%
,Panel 5,1.46,13.7%,26.5%,17.7%,14.4%,30.3%,9.8%,42.4%,31.6%,17.9%,27.0%,25.8%,32.7%,42.6%,20.0%,24.0%,37.7%,35.4%,35.9%,26.0%,22.7%,22.1%
,Panel 3,1.16,10.8%,10.5%,20.4%,11.2%,16.5%,13.4%,32.8%,-9.8%,20.1%,20.9%,17.8%,40.0%,30.9%,12.0%,21.2%,32.0%,31.6%,30.1%,22.7%,20.7%,23.9%
,Panel 1,1.08,7.0%,19.9%,11.4%,13.9%,17.3%,-6.1%,45.9%,33.5%,9.3%,18.3%,13.9%,15.0%,23.1%,18.4%,13.2%,20.3%,17.1%,15.5%,12.7%,11.7%,13.5%
,Panel 5,,9.8%,29.0%,19.8%,15.7%,31.9%,12.2%,41.7%,33.0%,19.9%,23.6%,20.0%,25.5%,35.9%,21.9%,21.4%,31.2%,28.8%,29.6%,28.2%,26.8%,27.0%
,Panel 5,1.19,14.5%,-48.2%,-47.4%,-53.7%,-51.7%,-45.0%,-28.3%,-49.4%,-49.1%,-44.3%,-44.3%,-49.9%,-50.6%,-49.3%,-46.1%,-53.0%,-46.3%,-36.4%,-22.0%,-26.9%,-30.6%
,Panel 1,1.12,2.5%,-36.9%,-42.1%,-47.3%,-56.6%,-44.4%,-19.8%,-46.2%,-45.3%,-39.7%,-47.7%,-47.6%,-49.2%,-45.9%,-45.5%,-52.2%,-43.9%,-28.1%,-25.7%,-29.1%,-33.9%
,Panel 5,,3.7%,-60.7%,-56.3%,-62.0%,-54.9%,-54.5%,-41.4%,-57.3%,-48.2%,-36.3%,-37.8%,-55.7%,-59.0%,-53.1%,-43.0%,-60.1%,-56.5%,-43.1%,-39.4%,-45.2%,-48.5%
,Panel 5,,77.3%,,-95.1%,-99.7%,685.7%,-64.2%,-100.0%,-57.4%,29.4%,408.9%,-1.6%,-12.1%,22.3%,-14.9%,55.6%,-23.1%,-53.9%,-72.0%,5.3%,62.5%,-27.4%
,Panel 5,,17.6%,-45.9%,-43.9%,-50.4%,-50.9%,-41.3%,-24.2%,-46.7%,-49.7%,-47.1%,-45.9%,-48.6%,-48.9%,-48.2%,-47.2%,-51.3%,-43.9%,-33.8%,-16.2%,-20.6%,-24.5%
,Panel 5,,47.1%,68.2%,-48.2%,-16.2%,-28.4%,-35.4%,21.8%,-23.8%,-36.2%,-32.8%,-40.3%,-52.2%,-27.7%,-30.5%,-43.3%,-49.3%,-32.0%,-34.9%,12.1%,5.9%,0.7%
,Panel 1,,11.8%,-47.2%,-43.5%,-54.2%,-48.1%,-57.0%,-37.3%,-50.6%,-47.8%,-30.2%,-37.5%,-47.0%,-50.9%,-49.4%,-38.5%,-53.7%,-49.8%,-26.7%,-38.6%,-44.1%,-46.5%
,Panel 1,,5.3%,-34.8%,-41.8%,-45.3%,-58.6%,-40.8%,-15.8%,-45.1%,-44.7%,-41.5%,-49.1%,-47.7%,-48.9%,-45.1%,-46.6%,-52.0%,-43.1%,-28.4%,-23.1%,-25.9%,-31.6%
,Panel 3,1.70,8.0%,-44.8%,-42.2%,-46.8%,-51.6%,-49.4%,-43.0%,-47.2%,-48.5%,-49.2%,-46.0%,-48.1%,-50.0%,-47.8%,-47.6%,-39.6%,-20.9%,-20.5%,-12.5%,-18.1%,-21.6%
,Panel 3,,3.7%,-58.8%,-49.2%,-56.1%,-52.7%,-53.5%,-44.5%,-53.8%,-50.0%,-36.7%,-36.5%,-50.3%,-51.3%,-52.2%,-41.2%,-53.5%,-52.3%,-37.3%,-41.0%,-44.2%,-48.9%
,Panel 3,,10.3%,-43.0%,-40.6%,-44.9%,-51.3%,-48.7%,-42.7%,-46.0%,-48.3%,-51.0%,-47.1%,-47.8%,-49.8%,-47.0%,-48.5%,-37.5%,-16.8%,-17.0%,-6.7%,-11.8%,-15.7%
,Panel 1,0.54,2.4%,-31.1%,-23.7%,-24.0%,0.1%,38.1%,18.6%,-25.5%,-7.2%,-18.3%,-3.2%,-0.7%,-6.5%,-25.5%,-10.1%,-7.7%,-13.5%,-2.3%,-13.6%,-4.0%,-5.3%
,Panel 3,0.72,2.4%,7.4%,6.5%,4.2%,0.7%,77.4%,-27.9%,-20.4%,21.5%,-6.1%,6.7%,7.3%,13.1%,-20.4%,8.3%,5.9%,-0.4%,-9.5%,-2.6%,9.7%,6.8%
,Panel 5,0.65,0.8%,3.0%,-9.6%,-9.7%,-12.9%,45.9%,28.4%,-4.4%,-0.1%,1.9%,7.2%,0.9%,10.9%,-4.4%,2.5%,3.3%,-2.8%,-2.1%,-0.5%,7.0%,7.3%
,Panel 5,,20.1%,-58.4%,18.0%,-11.6%,-56.4%,87.7%,-41.1%,-65.0%,-1.7%,-41.9%,-32.2%,-48.0%,-56.1%,-65.0%,-27.8%,-47.9%,-21.3%,14.1%,61.1%,,
,Panel 5,,10.4%,-51.8%,-72.9%,-45.6%,-31.1%,42.7%,-74.0%,,-30.2%,-45.7%,31.4%,-28.7%,-20.3%,,-22.4%,-12.0%,-31.1%,11.1%,-6.2%,-7.4%,-0.2%
,Panel 5,,8.1%,54.2%,-15.8%,24.9%,-4.9%,122.9%,27.1%,,21.0%,3.0%,-2.3%,40.5%,5.5%,,7.9%,16.0%,10.2%,48.2%,91.9%,73.7%,41.6%
,Panel 5,,41.1%,7.9%,-89.4%,-37.7%,8.0%,41.4%,-1.3%,4.2%,-27.3%,-35.6%,-9.3%,59.7%,3.9%,4.2%,-27.5%,13.7%,35.5%,43.8%,50.3%,6.9%,-0.1%
,Panel 5,,1.3%,-1.3%,-8.3%,-15.4%,-16.6%,30.4%,28.6%,-8.0%,-5.4%,-0.6%,2.2%,-6.2%,9.3%,-8.0%,-1.8%,-0.4%,-4.2%,-5.6%,-4.3%,5.0%,5.7%
,Panel 5,,36.3%,-42.9%,-44.6%,30.9%,-31.3%,201.6%,-74.1%,567.3%,21.2%,-50.4%,52.9%,33.4%,-6.7%,567.3%,-1.8%,34.5%,47.7%,27.0%,44.1%,-4.9%,16.3%
,Panel 3,0.93,6.8%,47.2%,57.0%,41.6%,47.2%,176.4%,2.1%,41.3%,80.2%,17.2%,39.2%,55.2%,44.5%,41.3%,45.1%,51.9%,54.8%,54.4%,65.2%,65.1%,58.4%
,Panel 5,1.08,0.2%,44.0%,34.9%,48.6%,37.0%,111.5%,63.0%,41.0%,57.2%,24.9%,41.1%,36.2%,39.0%,41.0%,39.9%,40.1%,46.4%,51.3%,56.6%,62.3%,53.6%
,Panel 5,,0.2%,44.4%,35.1%,48.9%,37.4%,112.7%,63.7%,41.9%,57.7%,25.1%,41.6%,36.6%,39.4%,41.9%,40.3%,40.5%,46.9%,51.4%,56.4%,62.4%,52.7%
,Panel 5,,6.3%,14.2%,14.0%,19.7%,-6.3%,-2.8%,-19.1%,-12.6%,6.2%,-1.7%,2.1%,2.1%,9.0%,-12.6%,2.2%,8.5%,12.8%,39.4%,74.1%,58.1%,198.9%
,Panel 3,0.59,3.4%,7.7%,6.6%,14.3%,18.6%,5.3%,3.8%,5.8%,13.2%,9.7%,0.5%,11.4%,1.8%,5.8%,6.9%,3.4%,5.1%,4.2%,-1.4%,8.9%,8.2%
,Panel 5,0.86,1.1%,3.3%,7.8%,-4.6%,12.2%,8.8%,-12.2%,10.4%,6.3%,8.0%,5.4%,10.1%,6.6%,10.4%,6.5%,7.6%,2.6%,1.6%,-1.8%,1.8%,1.1%
,Panel 1,,1.5%,-9.8%,14.8%,-21.3%,-22.2%,-21.6%,33.6%,-14.1%,-14.6%,-16.2%,-3.8%,-17.0%,0.2%,-13.5%,-12.0%,-7.6%,-9.1%,-10.1%,-15.1%,-11.0%,-11.5%
,Panel 5,1.38,1.2%,3.6%,31.1%,-16.1%,-8.2%,-1.2%,27.8%,-1.6%,-8.4%,-1.6%,-2.1%,-3.8%,9.7%,-3.7%,-2.5%,-1.8%,-4.5%,-11.8%,-8.2%,-13.4%,-9.0%
,Panel 5,,46.4%,64.1%,25.5%,87.6%,57.4%,134.5%,51.9%,79.3%,22.3%,-14.9%,16.1%,6.6%,41.0%,49.5%,3.2%,28.4%,35.5%,-0.9%,73.8%,11.1%,-7.1%
,Panel 5,,4.9%,-8.3%,6.0%,-34.2%,-26.3%,-21.9%,15.6%,-21.1%,-13.6%,-13.7%,-16.2%,-11.4%,30.6%,-18.9%,-13.9%,-7.6%,-12.0%,-19.5%,-11.7%,-14.0%,-6.7%
,Panel 5,,6.7%,-7.1%,42.8%,-12.1%,-9.8%,-1.1%,37.7%,1.2%,-4.3%,10.5%,2.3%,7.7%,13.3%,-0.5%,6.2%,0.7%,-2.2%,-13.3%,-21.0%,-26.8%,-20.5%
,Panel 5,,250.5%,,,-88.6%,-100.0%,-11.7%,-100.0%,-85.6%,-86.4%,8304.5%,-70.8%,1221.4%,-88.5%,-85.8%,164.8%,-73.0%,-54.4%,-60.4%,-85.4%,12.8%,-34.2%
,Panel 5,,4.5%,27.6%,39.0%,-8.5%,-12.6%,0.7%,62.5%,5.7%,-7.2%,9.7%,2.7%,6.4%,1.1%,1.4%,5.9%,4.2%,4.1%,2.8%,6.0%,3.2%,-1.8%
,Panel 5,,31.1%,10.0%,98.8%,-9.3%,31.7%,89.9%,6.3%,32.8%,7.6%,-37.1%,11.9%,7.2%,-2.5%,25.6%,-5.5%,-3.2%,-14.5%,-35.0%,-22.1%,-20.6%,-23.8%
,Panel 5,,34.6%,482.7%,-72.7%,-63.0%,-75.0%,-78.1%,-93.2%,-65.0%,-86.1%,6.6%,-75.5%,-8.2%,-62.2%,-72.6%,-38.0%,-82.2%,-53.9%,-2.2%,-61.6%,-28.9%,-23.2%
,Panel 5,,10.2%,-36.3%,-65.8%,-61.1%,-99.2%,-98.7%,-86.4%,-81.7%,-93.8%,-78.3%,-72.7%,-75.4%,-63.6%,-85.6%,-75.4%,-31.3%,-88.1%,-56.2%,-60.6%,-53.7%,-38.6%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,50.4%,,,-99.1%,-100.0%,-45.4%,,-87.3%,-2.5%,-100.0%,-100.0%,-100.0%,-100.0%,-49.6%,-100.0%,-73.5%,-85.0%,-67.2%,-79.5%,-63.4%,-78.0%
,Panel 5,,4.9%,16.1%,35.5%,-10.7%,2.4%,-3.9%,17.5%,3.8%,-14.2%,-1.7%,0.2%,-18.7%,-12.0%,-1.9%,-6.8%,-5.2%,-5.7%,-2.4%,0.4%,-6.9%,-3.7%
,Panel 1,0.72,1.5%,-9.8%,14.8%,-21.3%,-22.2%,-21.6%,33.6%,-14.1%,-14.6%,-16.2%,-3.8%,-17.0%,0.2%,-13.5%,-12.0%,-7.6%,-9.1%,-10.1%,-11.0%,-2.2%,-3.0%
,Panel 1,,8.6%,-17.3%,-9.2%,-46.6%,-35.0%,-29.2%,15.9%,-31.7%,-18.6%,-14.4%,-22.2%,-17.1%,3.3%,-26.9%,-18.3%,-14.4%,-9.0%,-19.7%,-16.2%,-8.6%,-10.8%
,Panel 1,,17.5%,-23.9%,32.9%,-26.7%,-33.9%,-40.0%,45.2%,-20.1%,-29.0%,-16.5%,5.5%,-4.3%,3.5%,-22.1%,-4.6%,-6.6%,-12.0%,-7.5%,-19.3%,-18.4%,-8.2%
,Panel 1,,7.8%,-24.5%,-63.1%,14.8%,-46.2%,-65.1%,-69.7%,-36.2%,-57.5%,-54.2%,-54.7%,-43.5%,41.0%,-41.5%,-49.3%,-31.9%,-23.7%,-30.4%,-50.6%,-33.6%,-27.2%
,Panel 1,,10.8%,-21.4%,17.6%,-7.6%,-9.5%,-25.9%,82.4%,-7.7%,-2.4%,-22.4%,-2.7%,-22.7%,-10.4%,-5.1%,-15.9%,-0.7%,-9.8%,-2.7%,-5.5%,-8.9%,-16.3%
,Panel 3,1.11,2.2%,29.6%,15.7%,-18.2%,-13.8%,4.5%,-10.4%,-1.7%,-13.4%,7.4%,3.6%,-18.6%,12.7%,-5.3%,-3.1%,-3.0%,-7.8%,-14.3%,-16.9%,-16.2%,-19.5%
,Panel 5,,0.3%,4.4%,9.5%,3.9%,1.1%,-5.7%,22.4%,7972.7%,2.8%,3.0%,0.2%,1.5%,2.4%,7972.7%,2.0%,2.3%,1.5%,2.9%,2.5%,3.9%,5.8%
,Panel 5,,0.1%,1.6%,0.6%,5.1%,2.6%,12.3%,20.0%,3.5%,5.6%,11.1%,16.3%,12.7%,13.5%,3.5%,10.6%,10.6%,-7.8%,-8.9%,-2.8%,15.4%,44.0%
,Panel 5,,0.4%,1.8%,6.2%,1.2%,-1.2%,-7.6%,18.3%,7891.6%,0.1%,0.2%,-2.4%,-1.1%,-0.3%,7891.6%,-0.7%,-0.3%,-0.9%,1.2%,2.5%,3.9%,5.8%
,Panel 5,0.88,6.7%,138.4%,-35.8%,-6.1%,46.8%,2.6%,-15.2%,12.6%,11.7%,9.1%,14.0%,15.7%,36.2%,138.5%,12.1%,18.8%,14.1%,12.7%,21.3%,17.9%,7.0%
,Panel 5,,0.0%,,,,,,298.4%,,1577.3%,,,,,,4712.9%,,-63.4%,,-18.8%,-100.0%,-98.8%
,Panel 5,,136.9%,,,237.0%,24350.6%,,-91.9%,397.6%,-51.5%,154.5%,-24.0%,-92.4%,-45.7%,,78.5%,-58.4%,-56.0%,-66.1%,-48.3%,-4.1%,-3.5%
,Panel 5,,86.8%,,,,,,,,61.9%,127.8%,150.2%,-40.6%,31.3%,,97.0%,10.3%,-55.4%,-8.7%,-8.9%,60.6%,114.6%
,Panel 5,,0.4%,,,,,,,,,-1.7%,-12.1%,52.2%,-98.6%,,-1.7%,-1.3%,39.8%,52.0%,46.3%,4.3%,16.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,188.9%,,,1635.6%,-41.0%,-70.6%,-100.0%,-11.2%,529.5%,-42.1%,-98.0%,-100.0%,-91.4%,,92.5%,-96.4%,-78.2%,-40.3%,112.9%,-1.3%,-55.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,206.3%,,,23164.0%,5.1%,,-74.2%,520.0%,1219.4%,-10.4%,-81.8%,-100.0%,-100.0%,,110.6%,-95.7%,-100.0%,-86.9%,19.1%,86.8%,50.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,-47.0%,-38.1%,-2.6%
,Panel 5,,0.0%,,,,,,,,,,,320.6%,,,,356.2%,,1809.6%,-95.6%,-95.3%,-100.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,41.2%,,,,-88.2%,-79.7%,327.6%,-5.8%,11.7%,33.6%,1.2%,-0.8%,-26.6%,,29.6%,-11.7%,18.9%,187.5%,65.7%,21.0%,5.5%
,Panel 5,,12.4%,,-28.6%,-73.9%,-73.7%,612.2%,-63.7%,40.0%,-78.4%,34.7%,12.5%,-38.3%,-46.3%,,-21.8%,-34.2%,38.2%,80.7%,6.4%,11.5%,135.8%
,Panel 5,,14.9%,,-60.1%,65.3%,306.6%,-45.0%,-49.9%,151.4%,-29.1%,13.4%,9.4%,56.1%,-9.2%,,-0.7%,14.2%,-27.2%,6.7%,-34.6%,-2.8%,-14.0%
,Panel 5,,95.1%,,,189.8%,-13.3%,-79.7%,-29.7%,-12.9%,-54.0%,46.0%,71.2%,54.7%,202.2%,,-14.6%,80.5%,19.2%,201.8%,23.3%,-24.4%,-16.8%
,Panel 5,,0.6%,,,,,,,,-69.0%,38.5%,-26.3%,67.9%,-15.2%,,-6.1%,-6.7%,-59.9%,2.1%,5.6%,248.9%,18.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,27.0%,,,-61.7%,-95.2%,-15.3%,-47.6%,-70.9%,96.3%,27.8%,1.7%,-48.5%,-7.6%,,1.0%,-26.0%,12.8%,-34.0%,-5.2%,-27.3%,-11.6%
,Panel 5,,163.4%,,,,13.0%,-100.0%,166.4%,-20.7%,12.0%,148.0%,104.0%,122.8%,650.7%,,18.2%,181.6%,984.8%,-56.3%,-97.9%,-99.0%,-99.5%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,-27.8%
,Panel 5,,32.7%,,12.3%,313.4%,-84.0%,1254.0%,36.8%,21.4%,3.8%,83.7%,116.0%,52.7%,45.5%,,29.8%,62.4%,49.9%,-21.3%,-20.9%,83.3%,-6.2%
,Panel 5,,29.2%,,,-73.6%,-56.1%,-96.5%,,-78.9%,-16.1%,-40.4%,-42.9%,-71.0%,93.2%,,-58.1%,-28.9%,-25.6%,-10.0%,8.0%,130.5%,28.6%
,Panel 5,,141.0%,,-100.0%,356.5%,635.6%,95.0%,206.4%,159.4%,772.2%,50.7%,15.9%,-10.5%,210.7%,,170.8%,29.8%,125.7%,490.0%,10.7%,4.5%,-62.8%
,Panel 5,,43.4%,,,,,,,,124.6%,-100.0%,-82.1%,-100.0%,1098.6%,,25.7%,-17.7%,-75.9%,-32.8%,85.8%,39.9%,136.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,171.1%,,-25.8%,18.0%,282.3%,426.1%,557.0%,120.5%,337.6%,620.1%,162.0%,307.9%,171.2%,,374.8%,203.8%,375.0%,349.0%,1.2%,52.4%,-1.1%
,Panel 5,,116.2%,,-96.3%,-50.5%,,-20.3%,-75.5%,-47.3%,-26.2%,-37.8%,47.1%,-26.4%,469.5%,,-37.0%,79.2%,82.7%,109.9%,-23.2%,-47.3%,-40.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,13.0%,97.6%,-34.5%,-25.4%,51.1%,-22.6%,-23.0%,-0.7%,-11.2%,-5.3%,1.8%,7.7%,22.9%,98.4%,-4.9%,8.1%,3.5%,8.8%,18.2%,14.4%,8.8%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,23.6%,,-96.8%,-86.8%,-96.9%,-66.0%,-70.0%,-89.5%,-11.8%,-68.8%,-50.5%,-59.4%,19.5%,,-55.3%,-31.7%,-73.3%,-15.9%,38.5%,-13.5%,175.5%
